Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,FORD,53,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, FEMALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,10672.00,17.1
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,FORD,53,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, MALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,297509.00,3.2
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,IROQUOIS,75,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, FEMALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,17516.00,17.1
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,IROQUOIS,75,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, MALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,651764.00,3.2
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,KANKAKEE,91,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, FEMALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,11243.00,17.1
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,KANKAKEE,91,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, MALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,331394.00,3.2
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,LIVINGSTON,105,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, FEMALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,25728.00,17.1
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,LIVINGSTON,105,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, MALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,630547.00,3.2
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,PIATT,147,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, FEMALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,4415.00,17.1
CENSUS,2012,YEAR,,COUNTY,ILLINOIS,17,EAST,50,PIATT,147,,,0,,"OPERATORS, PRINCIPAL","OPERATORS, PRINCIPAL, MALE - ACRES OPERATED",TOTAL,NOT SPECIFIED,254633.00,3.2
